2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
2564,POLICE RCDS SVS CLK, 1.00 ,POLICE," 47,830 ",9033,POLICE RCDS SVS CLK, 1.00 ,41683.98,9033,POLICE RCDS SVS CLK,1.00,41683.98,9033,POLICE RCDS SVS CLK,1.00,41683.98,9033,POLICE RCDS SVS CLK,1,41683.98,9033,POLICE RCDS SVS CLK,1,42517.54,9033,POLICE RCDS SVS CLK,1,43787.90,9033,POLICE RCDS SVS CLK,1,43787.90,9033,POLICE RCDS SVS CLK,1,43787.90,9033,POLICE RCDS SVS CLK,1,43787.90,9033,POLICE RCDS SVS CLK,1,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,44225.74,9033,POLICE RCDS SVS CLK, 1.00 ,45380.92,9033,POLICE RCDS SVS CLK,1,45380.92,9033,POLICE RCDS SVS CLK,1,45380.92,9033,POLICE RCDS SVS CLK,1,45380.92,9033,POLICE RCDS SVS CLK, 1.00 ,46855.90,9033,POLICE RCDS SVS CLK-20, 1.00 ,46855.90,9033,POLICE RCDS SVS CLK-20, 1.00 ,46855.90
2565,POLICE RCDS SVS CLK, 1.00 ,POLICE," 55,807 ",3776,POLICE RCDS SVS CLK, 1.00 ,52264.94,3776,POLICE RCDS SVS CLK,1.00,52264.94,3776,POLICE RCDS SVS CLK,1.00,52264.94,3776,POLICE RCDS SVS CLK,1,52264.94,3776,POLICE RCDS SVS CLK,1,53310.40,3776,POLICE RCDS SVS CLK,1,53310.40,3776,POLICE RCDS SVS CLK,1,53310.40,3776,POLICE RCDS SVS CLK,1,53310.40,3776,POLICE RCDS SVS CLK,1,53310.40,3776,POLICE RCDS SVS CLK,1,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,53843.40,3776,POLICE RCDS SVS CLK,1,53843.40,3776,POLICE RCDS SVS CLK,1,53843.40,3776,POLICE RCDS SVS CLK,1,53843.40,3776,POLICE RCDS SVS CLK, 1.00 ,55593.20,3776,POLICE RCDS SVS CLK-20, 1.00 ,55593.20,3776,POLICE RCDS SVS CLK-20, 1.00 ,55593.20
2566,POLICE PROPERTY CLK2, 1.00 ,POLICE," 59,565 ",3386,POLICE PROPERTY CLK-16, 1.00 ,55784.30,3386,POLICE PROPERTY CLK-16,1.00,55784.30,3386,POLICE PROPERTY CLK-16,1.00,55784.30,3386,POLICE PROPERTY CLK-16,1,55784.30,3386,POLICE PROPERTY CLK-16,1,56899.96,3386,POLICE PROPERTY CLK-16,1,56899.96,3386,POLICE PROPERTY CLK-16,1,56899.96,3386,POLICE PROPERTY CLK-16,1,56899.96,3386,POLICE PROPERTY CLK-16,1,56899.96,3386,POLICE PROPERTY CLK-16,1,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,57468.84,3386,POLICE PROPERTY CLK-16,1,57468.84,3386,POLICE PROPERTY CLK-16,1,57468.84,3386,POLICE PROPERTY CLK-16,1,57468.84,3386,POLICE PROPERTY CLK-16, 1.00 ,59336.68,3386,POLICE PROPERTY CLK 2-16, 1.00 ,59336.68,3386,POLICE PROPERTY CLK 2-16, 1.00 ,59336.68
2567,PKG ENFC OFF, 1.00 ,POLICE," 61,151 ",2147,PKG ENFC OFF, 1.00 ,55648.84,2147,PKG ENFC OFF,1.00,55648.84,2147,PKG ENFC OFF,1.00,55648.84,2147,PKG ENFC OFF,1,55648.84,2147,PKG ENFC OFF,1,56761.90,2147,PKG ENFC OFF,1,56761.90,2147,PKG ENFC OFF,1,56761.90,2147,PKG ENFC OFF,1,56761.90,2147,PKG ENFC OFF,1,56761.90,2147,PKG ENFC OFF,1,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,57329.48,2147,PKG ENFC OFF, 1.00 ,58999.46,2147,PKG ENFC OFF,1,58999.46,2147,PKG ENFC OFF,1,58999.46,2147,PKG ENFC OFF,1,58999.46,2147,PKG ENFC OFF, 1.00 ,60916.70,2147,PKG ENFC OFF-16, 1.00 ,60916.70,2147,PKG ENFC OFF-16, 1.00 ,60916.70
2568,ADMIN ASST, 1.00 ,POLICE," 52,970 ",2907,ADMIN ASST, 1.00 ,54194.66,2907,ADMIN ASST,1.00,55547.18,2907,ADMIN ASST,1.00,55547.18,2907,ADMIN ASST,1,55547.18,2907,ADMIN ASST,1,56658.16,2907,ADMIN ASST,1,56658.16,2907,ADMIN ASST,1,58357.78,2907,ADMIN ASST,1,58357.78,2907,ADMIN ASST,1,58357.78,2907,ADMIN ASST,1,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST, 1.00 ,58941.48,2907,ADMIN ASST,1,58941.48,2907,ADMIN ASST,1,58941.48,2907,ADMIN ASST,1,58941.48,2907,ADMIN ASST, 1.00 ,60856.90,2907,ADMIN ASST-17, 1.00 ,60856.90,2907,ADMIN ASST-17, 1.00 ,60856.90
2569,CLERK-TYP 2, 1.00 ,POLICE," 49,631 ",1726,CLERK-TYP 2, 1.00 ,45372.08,1726,CLERK-TYP 2,1.00,45372.08,1726,CLERK-TYP 2,1.00,45372.08,1726,CLERK-TYP 2,1,45372.08,1726,CLERK-TYP 2,1,46279.48,1726,CLERK-TYP 2,1,46279.48,1726,CLERK-TYP 2,1,46279.48,1726,CLERK-TYP 2,1,46279.48,1726,CLERK-TYP 2,1,46279.48,1726,CLERK-TYP 2,1,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2, 1.00 ,46742.28,1726,CLERK-TYP 2,1,46742.28,1726,CLERK-TYP 2,1,46742.28,1726,CLERK-TYP 2,1,46742.28,1726,CLERK-TYP 2, 1.00 ,48261.46,1726,CLERK-TYP 2-20, 1.00 ,48261.46,1726,CLERK-TYP 2-20, 1.00 ,48261.46
2570,POLICE RPT TYPIST 2, 1.00 ,POLICE," 51,323 ",1043,POLICE RPT TYPIST 1-20, 1.00 ,44050.50,1043,POLICE RPT TYPIST 1-20,1.00,44050.50,1043,POLICE RPT TYPIST 1-20,1.00,44050.50,1043,POLICE RPT TYPIST 2,1,44050.50,1043,POLICE RPT TYPIST 2,1,44931.64,1043,POLICE RPT TYPIST 2,1,46454.20,1043,POLICE RPT TYPIST 2,1,46454.20,1043,POLICE RPT TYPIST 2,1,46454.20,1043,POLICE RPT TYPIST 2,1,46454.20,1043,POLICE RPT TYPIST 2,1,46918.82,1043,POLICE RPT TYPIST 2, 1.00 ,46918.82,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,48326.46,1043,POLICE RPT TYPIST 2, 1.00 ,49516.74,1043,POLICE RPT TYPIST 2,1,49516.74,1043,POLICE RPT TYPIST 2,1,49516.74,1043,POLICE RPT TYPIST 2,1,49516.74,1043,POLICE RPT TYPIST 2, 1.00 ,51125.88,1043,POLICE RPT TYPIST 2-20, 1.00 ,51125.88,1043,POLICE RPT TYPIST 2-20, 1.00 ,51125.88
2572,PKG ENFC OFF, 1.00 ,POLICE," 64,036 ",3947,PKG ENFC OFF, 1.00 ,59430.80,3947,PKG ENFC OFF,1.00,59430.80,3947,PKG ENFC OFF,1.00,59430.80,3947,PKG ENFC OFF,1,59430.80,3947,PKG ENFC OFF,1,60619.52,3947,PKG ENFC OFF,1,60619.52,3947,PKG ENFC OFF,1,61170.46,3947,PKG ENFC OFF,1,61170.46,3947,PKG ENFC OFF,1,61170.46,3947,PKG ENFC OFF,1,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF, 1.00 ,61782.24,3947,PKG ENFC OFF,1,61782.24,3947,PKG ENFC OFF,1,61782.24,3947,PKG ENFC OFF,1,61782.24,3947,PKG ENFC OFF, 1.00 ,63790.22,3947,PKG ENFC OFF-16, 1.00 ,63790.22,3947,PKG ENFC OFF-16, 1.00 ,63790.22
2573,POLICE RCDS SVS CLK, 1.00 ,POLICE," 52,817 ",3830,POLICE RCDS SVS CLK, 1.00 ,49465.00,3830,POLICE RCDS SVS CLK,1.00,49465.00,3830,POLICE RCDS SVS CLK,1.00,49465.00,3830,POLICE RCDS SVS CLK,1,49465.00,3830,POLICE RCDS SVS CLK,1,50454.30,3830,POLICE RCDS SVS CLK,1,50454.30,3830,POLICE RCDS SVS CLK,1,50454.30,3830,POLICE RCDS SVS CLK,1,50454.30,3830,POLICE RCDS SVS CLK,1,50454.30,3830,POLICE RCDS SVS CLK,1,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,50958.96,3830,POLICE RCDS SVS CLK,1,50958.96,3830,POLICE RCDS SVS CLK,1,50958.96,3830,POLICE RCDS SVS CLK,1,50958.96,3830,POLICE RCDS SVS CLK, 1.00 ,52615.16,3830,POLICE RCDS SVS CLK-20, 1.00 ,52615.16,3830,POLICE RCDS SVS CLK-20, 1.00 ,52615.16
2574,POLICE RPT TYPIST 2, 1.00 ,POLICE," 55,807 ",1692,POLICE RPT TYPIST 2, 1.00 ,51798.24,1692,POLICE RPT TYPIST 2,1.00,51798.24,1692,POLICE RPT TYPIST 2,1.00,51798.24,1692,POLICE RPT TYPIST 2,1,51798.24,1692,POLICE RPT TYPIST 2,1,52834.34,1692,POLICE RPT TYPIST 2,1,52834.34,1692,POLICE RPT TYPIST 2,1,52834.34,1692,POLICE RPT TYPIST 2,1,52834.34,1692,POLICE RPT TYPIST 2,1,52834.34,1692,POLICE RPT TYPIST 2,1,53362.66,1692,POLICE RPT TYPIST 2, 1.00 ,53362.66,1692,POLICE RPT TYPIST 2, 1.00 ,53362.66,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,49516.74,2553,POLICE RPT TYPIST 2,1,49516.74,2553,POLICE RPT TYPIST 2,1,49516.74,2553,POLICE RPT TYPIST 2,1,49516.74,2553,POLICE RPT TYPIST 2, 1.00 ,51125.88,2553,POLICE RPT TYPIST 2-20, 1.00 ,51125.88,2553,POLICE RPT TYPIST 2-20, 1.00 ,51125.88
2575,POLICE RPT TYPIST 2, 1.00 ,POLICE," 44,028 ",10227,POLICE RPT TYPIST 1-20, 1.00 ,38074.14,10227,POLICE RPT TYPIST 1-20,1.00,38074.14,10227,POLICE RPT TYPIST 1-20,1.00,38074.14,10227,POLICE RPT TYPIST 1-20,1,38074.14,10227,POLICE RPT TYPIST 1-20,1,38835.68,10227,POLICE RPT TYPIST 1-20,1,39724.88,10227,POLICE RPT TYPIST 1-20,1,39724.88,10227,POLICE RPT TYPIST 1-20,1,39724.88,10227,POLICE RPT TYPIST 1-20,1,39724.88,10227,POLICE RPT TYPIST 1-20,1,40122.16,10227,POLICE RPT TYPIST 1-20, 1.00 ,40122.16,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,10227,POLICE RPT TYPIST 1-20, 1.00 ,42046.42,10227,POLICE RPT TYPIST 1-20,1,42046.42,10227,POLICE RPT TYPIST 1-20,1,42046.42,10227,POLICE RPT TYPIST 1-20,1,42046.42,10227,POLICE RPT TYPIST 1-20, 1.00 ,43412.98,10227,POLICE RPT TYPIST 1-20, 1.00 ,43412.98,10227,POLICE RPT TYPIST 1-20, 1.00 ,44338.32
2576,POLICE ADM SERVS MGR, 1.00 ,POLICE," 111,844 ",1267,POLICE ADM SERVS MGR, 1.00 ,104744.90,1267,POLICE ADM SERVS MGR,1.00,104744.90,1267,POLICE ADM SERVS MGR,1.00,104744.90,1267,POLICE ADM SERVS MGR,1,104744.90,1267,POLICE ADM SERVS MGR,1,106839.72,1267,POLICE ADM SERVS MGR,1,106839.72,1267,POLICE ADM SERVS MGR,1,106839.72,1267,POLICE ADM SERVS MGR,1,106839.72,1267,POLICE ADM SERVS MGR,1,106839.72,1267,POLICE ADM SERVS MGR,1,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,107908.06,1267,POLICE ADM SERVS MGR,1,107908.06,1267,POLICE ADM SERVS MGR,1,107908.06,1267,POLICE ADM SERVS MGR,1,107908.06,1267,POLICE ADM SERVS MGR, 1.00 ,111415.20,1267,POLICE ADMIN SERVS MGR-18, 1.00 ,111415.20,11637,POLICE ADMIN SERVS MGR-18, 1.00 ,95769.44
2578,PROGRAM ASST 1, 1.00 ,POLICE," 60,966 ",3510,PROGRAM ASST 1, 1.00 ,57096.52,3510,PROGRAM ASST 1,1.00,57096.52,3510,PROGRAM ASST 1,1.00,57096.52,3510,PROGRAM ASST 1,1,57096.52,3510,PROGRAM ASST 1,1,58238.18,3510,PROGRAM ASST 1,1,58238.18,3510,PROGRAM ASST 1,1,58238.18,3510,PROGRAM ASST 1,1,58238.18,3510,PROGRAM ASST 1,1,58238.18,3510,PROGRAM ASST 1,1,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1, 1.00 ,58820.58,3510,PROGRAM ASST 1,1,58820.58,3510,PROGRAM ASST 1,1,58820.58,3510,PROGRAM ASST 1,1,58820.58,3510,PROGRAM ASST 1, 1.00 ,60732.36,3510,PROGRAM ASST 1-20, 1.00 ,60732.36,3510,PROGRAM ASST 1-20, 1.00 ,60732.36
2579,PROGRAM ASST 1, 1.00 ,POLICE," 53,086 ",2495,ADMIN CLK 1, 1.00 ,46665.06,2495,ADMIN CLK 1,1.00,46665.06,2495,ADMIN CLK 1,1.00,48267.96,2495,ADMIN CLK 1,1,48267.96,2495,ADMIN CLK 1,1,49233.34,2495,ADMIN CLK 1,1,49233.34,2495,ADMIN CLK 1,1,49233.34,2495,ADMIN CLK 1,1,49233.34,2495,ADMIN CLK 1,1,49233.34,2495,ADMIN CLK 1,1,51217.66,2495,ADMIN CLK 1, 1.00 ,51217.66,2495,ADMIN CLK 1, 1.00 ,51217.66,2495,ADMIN CLK 1, 1.00 ,51217.66,2495,ADMIN CLK 1, 1.00 ,51217.66,2495,PROGRAM ASST 1, 1.00 ,54094.04,2495,PROGRAM ASST 1, 1.00 ,54094.04,2495,PROGRAM ASST 1, 1.00 ,54094.04,2495,PROGRAM ASST 1, 1.00 ,54094.04,2495,PROGRAM ASST 1,1,54094.04,2495,PROGRAM ASST 1,1,54094.04,2495,PROGRAM ASST 1,1,54094.04,2495,PROGRAM ASST 1, 1.00 ,55852.16,2495,PROGRAM ASST 1-20, 1.00 ,55852.16,2495,PROGRAM ASST 1-20, 1.00 ,55852.16
2580,PKG ENFC OFF, 1.00 ,POLICE," 62,643 ",2053,PKG ENFC OFF, 1.00 ,57269.68,2053,PKG ENFC OFF,1.00,57269.68,2053,PKG ENFC OFF,1.00,57269.68,2053,PKG ENFC OFF,1,58350.24,2053,PKG ENFC OFF,1,59517.12,2053,PKG ENFC OFF,1,59517.12,2053,PKG ENFC OFF,1,59517.12,2053,PKG ENFC OFF,1,59517.12,2053,PKG ENFC OFF,1,59517.12,2053,PKG ENFC OFF,1,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF, 1.00 ,60112.52,2053,PKG ENFC OFF,1,60112.52,2053,PKG ENFC OFF,1,60112.52,2053,PKG ENFC OFF,1,60112.52,2053,PKG ENFC OFF, 1.00 ,62066.16,2053,PKG ENFC OFF-16, 1.00 ,62066.16,2053,PKG ENFC OFF-16, 1.00 ,62066.16
2581,ADMIN CLK 1, 1.00 ,POLICE," 57,041 ",1751,ADMIN CLK 1, 1.00 ,52612.04,1751,ADMIN CLK 1,1.00,53094.86,1751,ADMIN CLK 1,1.00,53094.86,1751,ADMIN CLK 1,1,53094.86,1751,ADMIN CLK 1,1,54156.70,1751,ADMIN CLK 1,1,54156.70,1751,ADMIN CLK 1,1,54156.70,1751,ADMIN CLK 1,1,54156.70,1751,ADMIN CLK 1,1,54156.70,1751,ADMIN CLK 1,1,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1, 1.00 ,54698.28,1751,ADMIN CLK 1,1,54698.28,1751,ADMIN CLK 1,1,54698.28,1751,ADMIN CLK 1,1,54698.28,1751,ADMIN CLK 1, 1.00 ,56476.16,1751,ADMIN CLK 1-20, 1.00 ,56476.16,1751,ADMIN CLK 1-20, 1.00 ,56476.16
2582,POLICE PROPERTY CLK2, 1.00 ,POLICE," 54,779 ",1221,POLICE PROPERTY CLK-16, 1.00 ,51301.64,1221,POLICE PROPERTY CLK-16,1.00,51301.64,1221,POLICE PROPERTY CLK-16,1.00,51301.64,1221,POLICE PROPERTY CLK-16,1,51301.64,1221,POLICE PROPERTY CLK-16,1,52327.60,1221,POLICE PROPERTY CLK-16,1,52327.60,1221,POLICE PROPERTY CLK-16,1,52327.60,1221,POLICE PROPERTY CLK-16,1,52327.60,1221,POLICE PROPERTY CLK-16,1,52327.60,1221,POLICE PROPERTY CLK-16,1,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,52850.98,1221,POLICE PROPERTY CLK-16,1,52850.98,1221,POLICE PROPERTY CLK-16,1,52850.98,1221,POLICE PROPERTY CLK-16,1,52850.98,1221,POLICE PROPERTY CLK-16, 1.00 ,54568.54,1221,POLICE PROPERTY CLK 2-16, 1.00 ,54568.54,1221,POLICE PROPERTY CLK 2-16, 1.00 ,54568.54
2583,CLERK-TYP 2, 1.00 ,POLICE," 50,878 ",2378,CLERK-TYP 2, 1.00 ,46693.66,2378,CLERK-TYP 2,1.00,46693.66,2378,CLERK-TYP 2,1.00,46693.66,2378,CLERK-TYP 2,1,46693.66,2378,CLERK-TYP 2,1,47627.58,2378,CLERK-TYP 2,1,44931.64,2378,CLERK-TYP 2,1,44931.64,2378,CLERK-TYP 2,1,44931.64,2378,CLERK-TYP 2,1,48526.14,2378,CLERK-TYP 2,1,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2, 1.00 ,49011.30,2378,CLERK-TYP 2,1,49011.30,2378,CLERK-TYP 2,1,49011.30,2378,CLERK-TYP 2,1,49011.30,2378,CLERK-TYP 2, 1.00 ,49667.28,2378,CLERK-TYP 2-20, 1.00 ,49667.28,2378,CLERK-TYP 2-20, 1.00 ,49667.28
2585,POLICE RPT TYPIST 2, 1.00 ,POLICE," 44,171 ",9958,POLICE RPT TYPIST 1-20, 1.00 ,38074.14,9958,POLICE RPT TYPIST 1-20,1.00,38074.14,9958,POLICE RPT TYPIST 1-20,1.00,38074.14,9958,POLICE RPT TYPIST 1-20,1,38945.92,9958,POLICE RPT TYPIST 1-20,1,39724.88,9958,POLICE RPT TYPIST 1-20,1,39724.88,9958,POLICE RPT TYPIST 1-20,1,39724.88,9958,POLICE RPT TYPIST 1-20,1,39724.88,9958,POLICE RPT TYPIST 1-20,1,39724.88,9958,POLICE RPT TYPIST 1-20,1,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,41018.90,9958,POLICE RPT TYPIST 1-20, 1.00 ,42046.42,9958,POLICE RPT TYPIST 1-20, 1.00 ,42046.42,9958,POLICE RPT TYPIST 1-20, 1.00 ,42046.42,9958,POLICE RPT TYPIST 1-20,1,42046.42,9958,POLICE RPT TYPIST 1-20,1,42046.42,9958,POLICE RPT TYPIST 1-20,1,42046.42,9958,POLICE RPT TYPIST 1-20, 1.00 ,44338.32,9958,POLICE RPT TYPIST 1-20, 1.00 ,44338.32,9958,POLICE RPT TYPIST 1-20, 1.00 ,44338.32
